method,gt,eta,seed,nfe,gen_ppl,entropy,num_unique,num_samples
eflm,const,0.25,1,16,11.787317276000977,3.8221492767333984,512,512
eflm,const,0.5,1,16,11.624434471130371,3.8583924770355225,512,512
eflm,const,1.0,1,16,13.34888744354248,3.950700521469116,512,512
eflm,const,2.0,1,16,44.610511779785156,4.221790313720703,512,512
eflm,const,4.0,1,16,260.32916259765625,3.908076047897339,512,512
eflm,const,8.0,1,16,6275.47705078125,4.407478332519531,512,512
eflm,const,16.0,1,16,14399.3984375,5.391895771026611,512,512
eflm,const,32.0,1,16,14517.92578125,5.391617774963379,512,512
eflm,const,0.25,1,64,10.057950973510742,3.8351199626922607,512,512
eflm,const,0.5,1,64,9.850850105285645,3.874579668045044,512,512
eflm,const,1.0,1,64,9.459583282470703,3.9060399532318115,512,512
eflm,const,2.0,1,64,9.681488990783691,3.972121000289917,512,512
eflm,const,4.0,1,64,11.679486274719238,4.073379039764404,512,512
eflm,const,8.0,1,64,164.87355041503906,4.545166015625,512,512
eflm,const,16.0,1,64,5321.06982421875,4.593080043792725,512,512
eflm,const,32.0,1,64,14505.0,5.392783164978027,512,512
eflm,linear,0.25,1,4,32.46086883544922,3.553088665008545,512,512
eflm,linear,0.25,2,4,29.943876266479492,3.550253391265869,512,512
eflm,linear,0.25,3,4,36.538597106933594,3.3203301429748535,512,512
eflm,linear,0.5,1,4,33.927833557128906,3.637300491333008,512,512
eflm,linear,0.5,2,4,32.084285736083984,3.6261305809020996,512,512
eflm,linear,0.5,3,4,37.62538146972656,3.468705415725708,512,512
eflm,linear,1.0,1,4,36.721988677978516,3.7264864444732666,512,512
eflm,linear,1.0,2,4,34.46335220336914,3.745271682739258,512,512
eflm,linear,1.0,3,4,38.79334259033203,3.620971441268921,512,512
eflm,linear,2.0,1,4,41.46000671386719,3.8327503204345703,512,512
eflm,linear,2.0,2,4,39.608943939208984,3.8408615589141846,512,512
eflm,linear,2.0,3,4,41.564266204833984,3.7451789379119873,512,512
eflm,linear,4.0,1,4,50.944847106933594,3.918692111968994,512,512
eflm,linear,4.0,2,4,50.162567138671875,3.938588857650757,512,512
eflm,linear,4.0,3,4,50.230403900146484,3.832535743713379,512,512
eflm,linear,8.0,1,4,108.30557250976562,4.089465141296387,512,512
eflm,linear,8.0,2,4,109.41880798339844,4.081392765045166,512,512
eflm,linear,8.0,3,4,105.45051574707031,3.9754528999328613,512,512
eflm,linear,16.0,1,4,310.6795349121094,3.904876232147217,512,512
eflm,linear,16.0,2,4,562.74365234375,3.7969443798065186,512,512
eflm,linear,16.0,3,4,330.2733459472656,4.028144359588623,512,512
eflm,linear,32.0,1,4,13693.6142578125,3.229609966278076,512,512
eflm,linear,32.0,2,4,5066.78271484375,4.583487510681152,512,512
eflm,linear,32.0,3,4,26604.58984375,3.8837063312530518,512,512
eflm,linear,0.25,1,8,15.972046852111816,3.7025392055511475,512,512
eflm,linear,0.25,2,8,15.138176918029785,3.7438175678253174,512,512
eflm,linear,0.25,3,8,17.980995178222656,3.6387791633605957,512,512
eflm,linear,0.5,1,8,16.08175277709961,3.7296767234802246,512,512
eflm,linear,0.5,2,8,15.291766166687012,3.7665867805480957,512,512
eflm,linear,0.5,3,8,17.619070053100586,3.6745073795318604,512,512
eflm,linear,1.0,1,8,16.256853103637695,3.7776522636413574,512,512
eflm,linear,1.0,2,8,15.590517044067383,3.8176467418670654,512,512
eflm,linear,1.0,3,8,17.492267608642578,3.747183084487915,512,512
eflm,linear,2.0,1,8,16.875505447387695,3.847618579864502,512,512
eflm,linear,2.0,2,8,16.20884895324707,3.8886845111846924,512,512
eflm,linear,2.0,3,8,17.78742790222168,3.8091156482696533,512,512
eflm,linear,4.0,1,8,17.93657684326172,3.9188756942749023,512,512
