model,method,k,init,lr,difficulty,seed,acc
eflm,ta,,,1e-3,hard,1,30.599999999999998
eflm,ta,,,1e-3,hard,2,24.65
eflm,ta,,,1e-3,hard,3,36.199999999999996
eflm,ta,,,1e-3,medium,1,73.6
eflm,ta,,,1e-3,medium,2,75.64999999999999
eflm,ta,,,1e-3,medium,3,76.6
eflm,ta,,,3e-4,hard,1,41.9
eflm,ta,,,3e-4,hard,2,45.300000000000004
eflm,ta,,,3e-4,hard,3,42.4
eflm,ta,,,3e-4,medium,1,79.0
eflm,ta,,,3e-4,medium,2,85.1
eflm,ta,,,3e-4,medium,3,80.10000000000001
eflm,ta,,,5e-4,hard,1,38.25
eflm,ta,,,5e-4,hard,2,47.3
eflm,ta,,,5e-4,hard,3,33.2
eflm,ta,,,5e-4,medium,1,75.75
eflm,ta,,,5e-4,medium,2,81.6
eflm,ta,,,5e-4,medium,3,80.80000000000001
eflm,to,,,1e-3,hard,1,15.049999999999999
eflm,to,,,1e-3,hard,2,15.55
eflm,to,,,1e-3,hard,3,14.7
eflm,to,,,1e-3,medium,1,50.7
eflm,to,,,1e-3,medium,2,61.95
eflm,to,,,1e-3,medium,3,53.55
eflm,to,,,3e-4,hard,1,26.150000000000002
eflm,to,,,3e-4,hard,2,25.3
eflm,to,,,3e-4,hard,3,23.549999999999997
eflm,to,,,3e-4,medium,1,68.45
eflm,to,,,3e-4,medium,2,72.7
eflm,to,,,3e-4,medium,3,70.85000000000001
eflm,to,,,5e-4,hard,1,15.5
eflm,to,,,5e-4,hard,2,28.050000000000004
eflm,to,,,5e-4,hard,3,19.7
eflm,to,,,5e-4,medium,1,63.55
eflm,to,,,5e-4,medium,2,66.95
eflm,to,,,5e-4,medium,3,66.05
hflm,ta,-0.25,c0.01,1e-3,hard,1,44.05
hflm,ta,-0.25,c0.01,1e-3,hard,2,46.45
hflm,ta,-0.25,c0.01,1e-3,hard,3,45.2
hflm,ta,-0.25,c0.01,1e-3,medium,1,75.4
hflm,ta,-0.25,c0.01,1e-3,medium,2,65.2
hflm,ta,-0.25,c0.01,1e-3,medium,3,81.0
hflm,ta,-0.25,c0.01,3e-4,hard,1,49.6
hflm,ta,-0.25,c0.01,3e-4,hard,2,35.05
hflm,ta,-0.25,c0.01,3e-4,hard,3,30.7
hflm,ta,-0.25,c0.01,3e-4,medium,1,81.2
hflm,ta,-0.25,c0.01,3e-4,medium,2,79.9
hflm,ta,-0.25,c0.01,3e-4,medium,3,79.60000000000001
hflm,ta,-0.25,c0.01,5e-4,hard,1,48.6
hflm,ta,-0.25,c0.01,5e-4,hard,2,36.3
hflm,ta,-0.25,c0.01,5e-4,hard,3,41.15
hflm,ta,-0.25,c0.01,5e-4,medium,1,84.8
hflm,ta,-0.25,c0.01,5e-4,medium,2,83.1
hflm,ta,-0.25,c0.01,5e-4,medium,3,87.05000000000001
hflm,ta,-0.25,c0.04,1e-3,hard,1,26.3
hflm,ta,-0.25,c0.04,1e-3,hard,2,33.900000000000006
hflm,ta,-0.25,c0.04,1e-3,hard,3,36.199999999999996
hflm,ta,-0.25,c0.04,1e-3,medium,1,79.35
