diff,k,init,lr,seed,accuracy
hard,-1.5,c0.01,1e-3,1,0.291
hard,-1.5,c0.01,1e-3,2,0.2085
hard,-1.5,c0.01,1e-3,3,0.1825
hard,-1.5,c0.01,1e-4,1,0.1985
hard,-1.5,c0.01,1e-4,2,0.2495
hard,-1.5,c0.01,1e-4,3,0.1285
hard,-1.5,c0.01,3e-4,1,0.278
hard,-1.5,c0.01,3e-4,2,0.451
hard,-1.5,c0.01,3e-4,3,0.3205
hard,-1.5,c0.01,5e-4,1,0.338
hard,-1.5,c0.01,5e-4,2,0.306
hard,-1.5,c0.01,5e-4,3,0.147
hard,-1.5,c0.02,1e-3,1,0.2695
hard,-1.5,c0.02,1e-3,2,0.2105
hard,-1.5,c0.02,1e-3,3,0.1905
hard,-1.5,c0.02,1e-4,1,0.1755
hard,-1.5,c0.02,1e-4,2,0.2065
hard,-1.5,c0.02,1e-4,3,0.132
hard,-1.5,c0.02,3e-4,1,0.322
hard,-1.5,c0.02,3e-4,2,0.1575
hard,-1.5,c0.02,3e-4,3,0.312
hard,-1.5,c0.02,5e-4,1,0.1945
hard,-1.5,c0.02,5e-4,2,0.366
hard,-1.5,c0.02,5e-4,3,0.212
hard,-1.5,c0.04,1e-3,1,0.1455
hard,-1.5,c0.04,1e-3,2,0.2905
hard,-1.5,c0.04,1e-3,3,0.221
hard,-1.5,c0.04,1e-4,1,0.2485
hard,-1.5,c0.04,1e-4,2,0.216
hard,-1.5,c0.04,1e-4,3,0.199
hard,-1.5,c0.04,3e-4,1,0.2235
hard,-1.5,c0.04,3e-4,2,0.297
hard,-1.5,c0.04,3e-4,3,0.156
hard,-1.5,c0.04,5e-4,1,0.2065
hard,-1.5,c0.04,5e-4,2,0.326
hard,-1.5,c0.04,5e-4,3,0.241
hard,-1.5,c0.06,1e-3,1,0.3145
hard,-1.5,c0.06,1e-3,2,0.29
hard,-1.5,c0.06,1e-3,3,0.162
hard,-1.5,c0.06,1e-4,1,0.135
hard,-1.5,c0.06,1e-4,2,0.342
hard,-1.5,c0.06,1e-4,3,0.164
hard,-1.5,c0.06,3e-4,1,0.193
hard,-1.5,c0.06,3e-4,2,0.282
hard,-1.5,c0.06,3e-4,3,0.12
hard,-1.5,c0.06,5e-4,1,0.293
hard,-1.5,c0.06,5e-4,2,0.312
hard,-1.5,c0.06,5e-4,3,0.2725
hard,-1.5,c0.08,1e-3,1,0.275
hard,-1.5,c0.08,1e-3,2,0.3165
hard,-1.5,c0.08,1e-3,3,0.1705
hard,-1.5,c0.08,1e-4,1,0.1885
hard,-1.5,c0.08,1e-4,2,0.23
hard,-1.5,c0.08,1e-4,3,0.114
hard,-1.5,c0.08,3e-4,1,0.314
hard,-1.5,c0.08,3e-4,2,0.298
hard,-1.5,c0.08,3e-4,3,0.2085
hard,-1.5,c0.08,5e-4,1,0.3075
hard,-1.5,c0.08,5e-4,2,0.1755
hard,-1.5,c0.08,5e-4,3,0.286
hard,-1.5,ngpt,1e-3,1,0.1985
hard,-1.5,ngpt,1e-3,2,0.3285
hard,-1.5,ngpt,1e-3,3,0.121
hard,-1.5,ngpt,1e-4,1,0.1335
hard,-1.5,ngpt,1e-4,2,0.29
hard,-1.5,ngpt,1e-4,3,0.0875
hard,-1.5,ngpt,3e-4,1,0.2215
hard,-1.5,ngpt,3e-4,2,0.318
hard,-1.5,ngpt,3e-4,3,0.1385
hard,-1.5,ngpt,5e-4,1,0.2825
hard,-1.5,ngpt,5e-4,2,0.378
hard,-1.5,ngpt,5e-4,3,0.2835
hard,-1.5,random,1e-3,1,0.2075
hard,-1.5,random,1e-3,2,0.2105
hard,-1.5,random,1e-3,3,0.201
hard,-1.5,random,1e-4,1,0.285
hard,-1.5,random,1e-4,2,0.108
hard,-1.5,random,1e-4,3,0.152
hard,-1.5,random,3e-4,1,0.3445
hard,-1.5,random,3e-4,2,0.188
hard,-1.5,random,3e-4,3,0.3465
hard,-1.5,random,5e-4,1,0.3125
hard,-1.5,random,5e-4,2,0.3715
hard,-1.5,random,5e-4,3,0.3195
hard,-1.0,c0.01,1e-3,1,0.2565
hard,-1.0,c0.01,1e-3,2,0.274
hard,-1.0,c0.01,1e-3,3,0.333
hard,-1.0,c0.01,1e-4,1,0.25
hard,-1.0,c0.01,1e-4,2,0.268
hard,-1.0,c0.01,1e-4,3,0.3045
hard,-1.0,c0.01,3e-4,1,0.357
hard,-1.0,c0.01,3e-4,2,0.461
hard,-1.0,c0.01,3e-4,3,0.393
hard,-1.0,c0.01,5e-4,1,0.369
hard,-1.0,c0.01,5e-4,2,0.186
hard,-1.0,c0.01,5e-4,3,0.2925
hard,-1.0,c0.02,1e-3,1,0.393
hard,-1.0,c0.02,1e-3,2,0.128
hard,-1.0,c0.02,1e-3,3,0.329
hard,-1.0,c0.02,1e-4,1,0.1445
hard,-1.0,c0.02,1e-4,2,0.119
hard,-1.0,c0.02,1e-4,3,0.2205
hard,-1.0,c0.02,3e-4,1,0.286
hard,-1.0,c0.02,3e-4,2,0.087
hard,-1.0,c0.02,3e-4,3,0.367
hard,-1.0,c0.02,5e-4,1,0.2815
hard,-1.0,c0.02,5e-4,2,0.2955
hard,-1.0,c0.02,5e-4,3,0.343
hard,-1.0,c0.04,1e-3,1,0.233
hard,-1.0,c0.04,1e-3,2,0.2755
hard,-1.0,c0.04,1e-3,3,0.331
hard,-1.0,c0.04,1e-4,1,0.121
hard,-1.0,c0.04,1e-4,2,0.324
hard,-1.0,c0.04,1e-4,3,0.155
hard,-1.0,c0.04,3e-4,1,0.328
hard,-1.0,c0.04,3e-4,2,0.326
hard,-1.0,c0.04,3e-4,3,0.179
hard,-1.0,c0.04,5e-4,1,0.2465
hard,-1.0,c0.04,5e-4,2,0.38
hard,-1.0,c0.04,5e-4,3,0.315
hard,-1.0,c0.06,1e-3,1,0.202
hard,-1.0,c0.06,1e-3,2,0.3575
hard,-1.0,c0.06,1e-3,3,0.2645
hard,-1.0,c0.06,1e-4,1,0.244
hard,-1.0,c0.06,1e-4,2,0.2655
hard,-1.0,c0.06,1e-4,3,0.276
